date,AAIIBUBE,price
2012-05-10,-16.660000000000004,1178.0499999999997
2012-05-17,-22.39,1121.7999999999997
2012-05-24,-8.200000000000003,1143.0499999999997
2012-05-31,-14.000000000000004,1129.7999999999997
2012-06-07,-18.3,1137.2999999999997
2012-06-14,-1.75,1153.5499999999997
2012-06-21,-2.990000000000002,1145.5499999999997
2012-06-28,-15.699999999999996,1149.7999999999997
2012-07-05,-0.6899999999999977,1188.7999999999997
2012-07-12,-4.4999999999999964,1156.5499999999997
2012-07-19,-19.599999999999998,1199.2999999999997
2012-07-26,-15.010000000000002,1182.0499999999997
2012-08-02,-4.48,1189.2999999999997
2012-08-09,9.119999999999997,1227.7999999999997
2012-08-16,8.770000000000003,1240.2999999999997
2012-08-23,16.09,1227.2999999999997
2012-08-30,2.0799999999999983,1224.2999999999997
