,daily,3m flow $b,price
2011-04-13,112.78750447554903,-1.2753797388123207,1185.32
2011-04-14,-17.034356428174476,-1.389514219907162,1182.21
2011-04-15,61.832971149744935,-1.519893383395171,1181.57
2011-04-18,160.29050443000438,-1.4385908953763518,1162.08
2011-04-19,-177.2551829777927,-1.7210033785531769,1166.41
2011-04-20,496.1237787799489,-1.3785197323206295,1194.99
2011-04-21,9.72108173941231,-1.4817340649977058,1205.9
2011-04-22,0.0,-1.607352131414167,1205.96
2011-04-25,74.62208275306115,-1.6711958232735071,1203.75
2011-04-26,73.1146183239767,-1.6373896327722994,1203.33
2011-04-27,68.94922570009139,-1.6930629609360965,1202.43
2011-04-28,211.2203562850276,-1.5610821234925392,1200.71
2011-04-29,3092.4164722097057,1.435345670513422,1204.03
2011-05-02,89.69184039600361,5.776275195719035,1206.49
2011-05-03,169.53279747460405,5.871617480725776,1185.76
2011-05-04,120.50710730000843,5.867405858458778,1170.93
2011-05-05,21.43070429987193,5.883652223466863,1161.68
2011-05-06,123.40146114700582,5.69404595281915,1163.34
2011-05-09,-157.3938125544363,5.47834858989458,1161.94
2011-05-10,54.22479596361035,5.440070896911912,1166.64
2011-05-11,47.76332325105301,5.470597087764591,1165.91
2011-05-12,20.861385214343684,5.5272327496338844,1147.58
2011-05-13,162.20863071982572,5.660335348891444,1144.69
2011-05-16,11.50225387095611,5.938140909000068,1136.66
2011-05-17,-142.53979474053023,5.462889413019848,1133.39
2011-05-18,71.24197410446715,5.438645754116365,1142.47
2011-05-19,12.710559904703318,5.320925763335721,1140.42
2011-05-20,22.320186492256457,5.35945499498205,1140.55
2011-05-23,-138.78007051496803,5.218946799368918,1113.8
2011-05-24,-9.22032745376968,5.114044390965718,1124.62
2011-05-25,33.49163892723081,5.2599633790925475,1118.02
2011-05-26,126.01899686330202,5.4578499425862805,1133.37
2011-05-27,11.206457186173402,5.561129707722526,1147.82
2011-05-30,72.32630780792294,10.089090803110043,1148.15
2011-05-31,1536.6712864155145,11.49686711693098,1167.97
2011-06-01,204.71802313546306,11.561294002383292,1166.72
2011-06-02,65.9520153812336,11.624972768634757,1158.96
2011-06-03,-23.75125516222837,11.238198542563008,1155.51
2011-06-06,60.46223912517471,11.233026080740418,1149.0
2011-06-07,174.32542977925934,11.42789248537405,1152.56
2011-06-08,121.07776865054888,11.462857839094836,1145.47
2011-06-09,573.6841539362235,12.000967901135281,1142.24
2011-06-10,932.5066283029436,12.823290014171528,1128.85
2011-06-13,5.55816477850505,12.784322488091915,1124.67
2011-06-14,1.3142665126732798,12.751843958829616,1134.4
2011-06-15,101.26153017469677,12.799147113295685,1127.8
2011-06-16,-23.42148729173518,12.763674237051243,1107.43
2011-06-17,-6.667250516112063,12.771846662018909,1103.74
2011-06-20,49.70693538746847,12.77403702202453,1098.33
2011-06-21,-49.66567489281202,12.462552364554373,1113.03
2011-06-22,116.37104026763515,12.437880831269531,1116.25
2011-06-23,35.02314131717045,12.42823409837711,1105.31
2011-06-24,46.86821097129951,12.371745036864946,1115.67
2011-06-27,44.56444204542486,12.316021536388522,1112.54
2011-06-28,31.502775536445927,12.295118546326938,1121.14
2011-06-29,134.58432579349378,12.354551700208702,1132.79
2011-06-30,2147.2591375874686,12.348014367265037,1146.22
2011-07-01,109.85008490032075,12.160471366838616,1156.74
2011-07-04,8.624328833612806,11.654133587960057,1169.49
2011-07-05,166.76613231212391,11.763189527348054,1166.2
2011-07-06,76.25198167588451,11.749904845469585,1161.17
2011-07-07,107.07787259533909,11.833638515914497,1167.61
2011-07-08,8.511731935778403,11.739351264235673,1163.93
2011-07-11,41.98591975748347,11.73843709404893,1142.82
2011-07-12,117.94951609256441,11.806218887439051,1121.27
2011-07-13,4.2474661569222905,11.697678849120425,1137.88
2011-07-14,37.845730985770736,11.75255893653437,1135.42
2011-07-15,56.54932252762709,11.747275287912254,1135.6
2011-07-18,52.788358658542144,11.63977314214079,1122.39
2011-07-19,31.416017153752847,11.848444342272336,1129.0
2011-07-20,-85.81524164916169,11.266505321843226,1136.79
2011-07-21,25.821947474720137,11.282606187578535,1143.29
2011-07-22,21.054117108564455,11.3036603046871,1153.18
