,EMEQU,HY,EMDEBT
2010-05-12,51.171080000000856,25.230949999999652,7.806000000000019
2010-05-13,35.85309000000231,40.55599999999975,10.358999999999963
2010-05-14,-2.733620000004861,-54.51699999999934,-2.585000000000037
2010-05-17,-146.1995599999981,-63.06600000000029,0.0
2010-05-18,0.579449999999473,3.7931850000001437,-5.155999999999982
2010-05-19,-25.575600000001472,-53.966000000000165,15.334000000000128
2010-05-20,51.10060000000052,-23.149140000000415,-5.066000000000072
2010-05-21,-27.213179999997582,-34.385999999999655,0.0
2010-05-24,74.03900000000351,7.43885999999948,2.5650000000000364
2010-05-25,-17.04342000000406,-29.9249999999998,0.0
2010-05-26,99.9436400000001,32.29131000000063,2.539000000000036
2010-05-27,505.50383999999946,-18.68994000000044,0.0
2010-05-28,1306.4833999999985,33.84399999999988,0.0
