,daily,3m flow $b,price
2019-02-15,-136.23428541856705,2.5957466697359433,548.891
2019-02-18,17.082720860504406,2.562576629784789,548.891
2019-02-19,282.442982953835,2.822485786284427,549.992
2019-02-20,-6.934490267411719,2.8533530889189516,550.376
2019-02-21,-81.69194923863131,2.7984245213117296,550.528
2019-02-22,145.42723383521746,3.119252607664148,551.991
2019-02-25,150.071183881943,3.200821905619748,552.789
2019-02-26,5.909504617634487,3.3557955739618492,553.415
2019-02-27,-111.24417485337315,3.291287007070236,553.987
2019-02-28,4843.850128819383,7.857407297726478,553.966
2019-03-01,-38.15061378698279,8.234761034486551,552.407
2019-03-04,-75.03502386052072,8.453953067035556,551.791
2019-03-05,-48.54234801855912,9.520481537869468,550.552
2019-03-06,66.88052681666156,9.659521119030847,551.698
2019-03-07,-330.52365527599255,9.323196166351936,551.101
2019-03-08,17.15745711372483,9.480094157318208,550.401
2019-03-11,10.311733591516422,9.440304355877213,552.444
2019-03-12,117.18629496083035,9.64151265195156,554.111
2019-03-13,71.8231656274534,9.477069260213387,553.952
2019-03-14,118.07760252182237,9.9205817717979,554.965
2019-03-15,86.56414099508756,10.355813901999655,556.429
2019-03-18,-133.5099590433813,10.305949381223552,557.525
2019-03-19,131.60059938556438,10.338191626351367,558.323
2019-03-20,-154.47016412563076,10.207975029151742,558.52
2019-03-21,90.19056469094912,10.600616353470992,561.29
2019-03-22,343.3832204436743,10.907165474376981,560.114
2019-03-25,142.87583715714598,11.179365317822421,559.659
2019-03-26,3.759580022946457,11.183124897845367,561.184
2019-03-27,-62.46252084927808,11.32903576726183,560.462
2019-03-28,56.661413588850564,11.35822244125282,560.31
2019-03-29,340.44750386386346,11.573846452955449,562.106
2019-04-01,-410.5173264068546,11.424903305457946,562.867
2019-04-02,-74.23981027747557,11.35066349518047,562.854
2019-04-03,36.598126933100204,11.412189180827928,562.639
2019-04-04,-412.8082509682123,10.887108835934063,563.132
2019-04-05,-213.5204663903035,10.31849938627189,563.47
2019-04-08,-68.75777669620896,10.0009189264317,563.012
2019-04-09,-666.4010654006025,9.024363703881301,563.879
2019-04-10,-226.29140774935476,8.485985058444665,563.391
2019-04-11,-43.87089126942286,8.309670029313981,562.333
2019-04-12,32.344693606611436,8.208986019513475,561.306
2019-04-15,-90.28574893646108,8.07187791065627,561.584
2019-04-16,-349.6526504499777,7.629387176113514,562.149
2019-04-17,-303.5275839895702,7.357697212990974,562.663
2019-04-18,-280.273846744106,6.731701510362785,562.504
2019-04-19,0.0,6.327758685357033,562.504
2019-04-22,-274.2821806427153,6.06086868065473,562.142
2019-04-23,-280.71322749055895,5.437555674262439,562.923
2019-04-24,-151.34704156142809,4.4172325721402075,562.669
2019-04-25,-202.25325823484064,3.532390526639747,560.793
2019-04-26,-100.07416949695892,3.2448482637611344,562.224
2019-04-29,-106.16969534028887,3.2340579747026013,562.201
2019-04-30,-451.47389205639723,3.092827340354072,563.032
2019-05-01,49.76827105373014,3.3519344893085288,563.842
2019-05-02,-122.43114059890107,1.75383480957316,563.35
2019-05-03,19.05082145086437,1.5632104286923596,564.362
2019-05-06,53.006633953270075,1.3825945249056095,564.583
2019-05-07,-58.59856628708091,0.9963175073195256,563.853
2019-05-08,-239.76572989311015,0.6875685164143505,563.047
2019-05-09,-390.64888210695096,0.2611568279387417,561.837
2019-05-10,-426.2816902225288,-0.19821966172786282,562.771
2019-05-13,-164.10914703733468,-0.28168311211293906,560.667
2019-05-14,-599.8969057378292,-0.8931174975960708,561.42
2019-05-15,-289.6467886765962,-1.1314182346666926,562.591
2019-05-16,-95.91606844078359,-1.0400824510949986,563.465
2019-05-17,-153.48081422101492,-1.0573289798974463,563.072
2019-05-20,-56.952595987224214,-1.131364296745175,563.379
2019-05-21,-94.24563047008782,-1.5080529101690978,564.253
2019-05-22,-75.51151977562708,-1.5766299396773131,564.772
2019-05-23,-49.82877245957202,-1.5447667628982538,563.954
2019-05-24,137.83881006893793,-1.5523551866645335,564.178
2019-05-27,-23.040407093458644,-1.7254667776399348,564.178
2019-05-28,-35.84446338332651,-1.767220745640896,564.905
2019-05-29,-161.60065906453698,-1.8175772298520596,564.71
2019-05-30,33.1969568573176,-6.6282304018141245,565.933
2019-05-31,-1180.8703347474861,-7.770950122774629,565.28
2019-06-03,13.06481327337032,-7.682850285640738,565.9
2019-06-04,32.292081387321964,-7.602015856234856,568.015
2019-06-05,19.527922770241958,-7.649368460281276,571.019
2019-06-06,-47.019755623617385,-7.365864560628901,572.466
2019-06-07,147.43425571078552,-7.23558776203184,574.44
2019-06-10,161.19415723540905,-7.0847053383879475,575.785
2019-06-11,-7.82917117182647,-7.209720804520605,575.677
2019-06-12,43.23993656335945,-7.238304033584699,575.959
2019-06-13,-104.54623770665712,-7.460927873813178,576.068
2019-06-14,-29.50218651139106,-7.576994201319656,575.915
2019-06-17,28.44705551525264,-7.4150371867610225,575.84
2019-06-18,34.1014628463506,-7.512536323300236,579.834
2019-06-19,-1.779005121113002,-7.359845164295719,581.534
2019-06-20,213.9239471179809,-7.236111781868687,587.879
2019-06-21,207.29901627425866,-7.372195986038102,585.408
