date,price,holdings in troy ounce
2011-08-24,1759.13,71111898.43
2011-08-25,1774.45,71108462.21
2011-08-26,1827.15,71032573.77
2011-08-29,1788.4,70774753.38
2011-08-30,1835.52,70800758.68
2011-08-31,1825.55,70918458.28
2011-09-01,1826.1,70906343.41
2011-09-02,1882.96,70854376.95
2011-09-05,1900.2,70854372.1
2011-09-06,1875.25,70844298.9
2011-09-07,1817.71,70828647.73
2011-09-08,1870.2,70725486.01
2011-09-09,1855.57,71105404.63
2011-09-12,1815.25,71091303.79
2011-09-13,1833.67,71067781.08
2011-09-14,1819.8,71082731.25
2011-09-15,1788.72,70946024.87
2011-09-16,1811.38,71208927.28
2011-09-19,1778.85,71025419.73
2011-09-20,1803.69,71147007.59
2011-09-21,1782.3,71162398.56
2011-09-22,1740.39,71158643.39
2011-09-23,1656.74,70973059.73
2011-09-26,1626.88,70952698.08
2011-09-27,1650.72,70674668.08
2011-09-28,1609.16,70594689.62
2011-09-29,1614.69,70271614.93
2011-09-30,1623.79,70444620.66
2011-10-03,1658.3,70456318.95
2011-10-04,1623.82,70494611.42
2011-10-05,1640.85,70502088.56
2011-10-06,1651.36,70335214.79
2011-10-07,1637.85,70335212.8
2011-10-10,1676.65,70226793.92
2011-10-11,1662.3,70411284.64
2011-10-12,1676.3,70448674.22
2011-10-13,1668.05,70618488.55
2011-10-14,1680.95,70577838.06
2011-10-17,1670.8,70579928.36
2011-10-18,1657.97,70655813.17
2011-10-19,1640.75,70676178.92
2011-10-20,1620.66,70683647.39
2011-10-21,1641.85,70724645.33
2011-10-24,1653.48,70687463.92
2011-10-25,1705.27,71031845.32
2011-10-26,1724.64,71037518.2
2011-10-27,1744.95,71037894.72
2011-10-28,1743.42,71099197.52
2011-10-31,1714.7,72230839.04
2011-11-01,1719.55,72554667.39
2011-11-02,1737.8,72572953.22
2011-11-03,1763.67,72380375.39
2011-11-04,1754.65,72652723.08
2011-11-07,1794.9,73107125.32
2011-11-08,1786.32,73393443.59
2011-11-09,1769.7,73488081.15
2011-11-10,1758.5,73563911.0
2011-11-11,1788.63,73577925.12
2011-11-14,1780.3,73569784.2
2011-11-15,1780.9,73641013.36
2011-11-16,1763.35,73932843.25
2011-11-17,1721.52,74355441.24
2011-11-18,1723.92,74459486.11
2011-11-21,1677.57,74525895.69
2011-11-22,1699.9,74712167.8
2011-11-23,1692.41,74624999.39
2011-11-24,1697.42,74712164.7
2011-11-25,1683.52,74798675.59
2011-11-28,1712.35,74819446.59
2011-11-29,1715.67,74910741.19
2011-11-30,1746.35,75008565.12
2011-12-01,1744.8,74999835.66
2011-12-02,1746.59,74998145.75
2011-12-05,1722.67,74973459.88
2011-12-06,1728.55,75092641.3
2011-12-07,1741.89,75064855.5
2011-12-08,1708.27,75068343.58
2011-12-09,1711.47,75074805.19
