,usd_exposure,eur_exposure,gbp_exposure,jpy_exposure,emfx_exposure,fi_exposure,dmequity_exposure,emequity_exposure,com_exposure,ags_exposure
2015-02-24,58.8047701452965,-13.628809682754566,20.057329219077896,-4.855110654462748,-97.21475572304922,190.73460440321526,63.85094544876228,9.197871143951524,-55.29672449622683,-44.00528568465173
2015-02-25,58.8047701452965,-13.628809682754566,20.057329219077896,-4.855110654462748,-99.4413601049424,190.73460440321526,63.85094544876228,9.197871143951524,-52.36420086760501,-44.00528568465173
2015-02-26,55.45435003131892,-12.321918281340745,20.057329219077896,-4.855110654462748,-97.82426852559246,190.73460440321526,63.85094544876228,9.197871143951524,-52.36420086760501,-44.00528568465173
2015-02-27,52.59831196203791,-12.321918281340745,20.057329219077896,-4.855110654462748,-94.81328188641595,190.73460440321526,65.64988222199656,9.197871143951524,-52.36420086760501,-44.00528568465173
2015-03-02,52.59831196203791,-12.321918281340745,20.057329219077896,-4.855110654462748,-92.41882623958116,190.73460440321526,65.64988222199656,9.197871143951524,-47.39402016787796,-36.458738744773456
2015-03-03,52.59831196203791,-13.948541442644526,21.415364120675026,-4.855110654462748,-94.13466162357861,190.73460440321526,65.64988222199656,9.197871143951524,-47.39402016787796,-36.458738744773456
2015-03-04,52.59831196203791,-18.925677611587712,26.86122838583034,-3.2959782437842366,-95.5782883401317,175.40459202038633,65.64988222199656,9.197871143951524,-44.95299223410459,-38.05762770521322
2015-03-05,52.59831196203791,-18.925677611587712,28.520688487922083,-4.955438345875983,-95.5782883401317,158.25122575075864,67.16996516171405,11.361932502857973,-49.405042778830115,-38.05762770521322
2015-03-06,55.70421576789407,-18.925677611587712,27.002058941776518,-6.542712605586571,-95.72188427114139,187.1106341993248,68.66738922977132,14.657994748550616,-51.12557217695802,-38.05762770521322
2015-03-09,55.70421576789407,-18.925677611587712,27.002058941776518,-6.542712605586571,-92.89531300676852,185.0282731984818,68.66738922977132,14.657994748550616,-55.294209179073476,-38.05762770521322
2015-03-10,52.18611914861307,-18.925677611587712,27.002058941776518,-6.542712605586571,-92.89531300676852,169.12561878841376,70.71138197549853,14.657994748550616,-55.294209179073476,-38.05762770521322
2015-03-11,52.18611914861307,-18.925677611587712,27.002058941776518,-6.542712605586571,-92.89531300676852,169.12561878841376,67.86870396102157,12.999703598987873,-57.11405919115374,-38.05762770521322
2015-03-12,52.18611914861307,-18.925677611587712,27.002058941776518,-6.542712605586571,-92.89531300676852,169.12561878841376,66.16510465140885,12.999703598987873,-60.783035122309116,-38.05762770521322
2015-03-13,52.18611914861307,-21.31442595488597,27.002058941776518,-6.542712605586571,-92.89531300676852,169.12561878841376,66.16510465140885,12.999703598987873,-62.42688453906153,-39.79001103483093
2015-03-16,52.18611914861307,-21.31442595488597,27.002058941776518,-6.542712605586571,-94.40703334161581,169.12561878841376,68.28301690335385,12.999703598987873,-62.42688453906153,-39.79001103483093
2015-03-17,52.18611914861307,-21.31442595488597,27.002058941776518,-6.542712605586571,-94.40703334161581,169.12561878841376,68.28301690335385,14.448257371988147,-58.54613755797668,-39.79001103483093
2015-03-18,52.18611914861307,-21.31442595488597,27.002058941776518,-6.542712605586571,-96.39317452985193,169.12561878841376,71.53746557275912,14.448257371988147,-61.732774454662156,-39.79001103483093
2015-03-19,52.18611914861307,-21.31442595488597,27.002058941776518,-5.5003546978228135,-93.05755151302043,181.05476898460955,71.53746557275912,14.448257371988147,-61.732774454662156,-39.79001103483093
2015-03-20,48.325923054427705,-21.31442595488597,24.10303434432493,-5.5003546978228135,-94.4818348003572,187.5661754203603,73.55109339585935,14.448257371988147,-68.59352240889763,-39.79001103483093
2015-03-23,48.325923054427705,-21.295463871752982,24.10303434432493,-3.2566696024795427,-91.96154433119014,187.5661754203603,73.55109339585935,16.480569567075435,-63.73021181433521,-39.79001103483093
2015-03-24,46.144178721357115,-18.514491800031465,14.017328961937151,-3.2566696024795427,-82.01143480336985,187.5661754203603,73.55109339585935,21.17882664546056,-56.1913195111007,-37.23274319912162
2015-03-25,46.144178721357115,-16.310978929423676,7.832813754141683,-3.2566696024795427,-62.07465835944538,187.5661754203603,73.55109339585935,21.17882664546056,-56.1913195111007,-34.59789884856982
2015-03-26,40.76524642504647,-16.310978929423676,7.832813754141683,-3.2566696024795427,-63.448648234705416,177.11008356087896,75.42634599818508,21.783972660116095,-66.18470010821477,-34.59789884856982
2015-03-27,42.09426278137878,-16.310978929423676,2.932289567333761,-1.372890385951403,-64.61671192414839,182.47259314777472,75.42634599818508,19.99623394481559,-71.85943354585396,-34.59789884856982
2015-03-30,42.09426278137878,-18.068292555751864,2.932289567333761,-1.372890385951403,-59.08712213599753,182.47259314777472,75.42634599818508,21.483932138708756,-77.33035231722246,-34.59789884856982
2015-03-31,42.09426278137878,-18.068292555751864,2.932289567333761,-1.372890385951403,-56.642827906597645,180.76106702144142,78.31884989192952,21.483932138708756,-77.33035231722246,-34.59789884856982
2015-04-01,42.09426278137878,-18.068292555751864,2.932289567333761,-1.372890385951403,-56.642827906597645,187.0648354317986,78.31884989192952,21.483932138708756,-79.52925437566168,-34.59789884856982
2015-04-02,42.09426278137878,-18.068292555751864,2.932289567333761,-1.372890385951403,-55.14437547850499,194.489556535207,80.1182954139228,23.509343307087875,-81.8092346159223,-34.59789884856982
2015-04-03,42.09426278137878,-18.068292555751864,1.8375149509337176,-1.372890385951403,-41.25441396925162,194.489556535207,80.1182954139228,28.352823772577434,-77.28500120181498,-33.004486981501
2015-04-06,40.21532779219823,-14.901339492077994,1.8375149509337176,-1.372890385951403,-33.12835330107922,194.489556535207,80.1182954139228,28.352823772577434,-80.55236843234819,-33.004486981501
2015-04-07,40.21532779219823,-14.901339492077994,1.8375149509337176,-1.372890385951403,-35.14172997324826,194.489556535207,82.18098758389826,31.19808354487805,-77.10343136328444,-33.004486981501
2015-04-08,40.21532779219823,-14.901339492077994,1.8375149509337176,-1.372890385951403,-35.14172997324826,189.34648242405478,84.29572080767036,32.92329738189505,-73.86106940369257,-33.004486981501
2015-04-09,40.21532779219823,-14.901339492077994,4.036153009731324,-1.372890385951403,-30.287842195211855,180.5724613001338,86.01736629901119,36.843775524658504,-72.1519799172367,-34.800275918522495
2015-04-10,40.21532779219823,-14.901339492077994,4.036153009731324,-1.372890385951403,-32.82471417536144,195.02767038981276,86.01736629901119,39.88031031716955,-72.1519799172367,-34.800275918522495
2015-04-13,40.21532779219823,-14.901339492077994,2.376692907639577,0.2865697161403433,-31.882144228782646,173.35775312096828,86.01736629901119,39.88031031716955,-72.1519799172367,-34.800275918522495
2015-04-14,40.21532779219823,-13.681530637326265,2.376692907639577,0.2865697161403433,-31.882144228782646,180.63147775414964,86.01736629901119,32.509612408604916,-72.1519799172367,-34.800275918522495
2015-04-15,40.21532779219823,-14.988422038740087,2.7490167119001585,0.2865697161403433,-31.882144228782646,170.8481019534509,86.01736629901119,34.79762297942915,-75.79612528682759,-35.2314538010711
2015-04-16,42.74642570731658,-19.68631400134543,1.6303270305385735,0.2865697161403433,-27.054361689491778,170.8481019534509,86.01736629901119,42.264552583182166,-74.39979338810072,-35.2314538010711
2015-04-17,42.74642570731658,-19.68631400134543,1.6303270305385735,0.2865697161403433,-23.620048648365422,170.8481019534509,89.29759505573068,42.264552583182166,-76.27536550225987,-32.447117828159314
2015-04-20,42.74642570731658,-19.68631400134543,1.6303270305385735,0.2865697161403433,-23.042441699977488,170.8481019534509,89.27639865429724,42.264552583182166,-76.27536550225987,-32.447117828159314
2015-04-21,42.74642570731658,-19.68631400134543,1.6303270305385735,0.2865697161403433,-20.05231339831091,170.8481019534509,87.60747957486562,42.264552583182166,-76.27536550225987,-32.447117828159314
2015-04-22,42.74642570731658,-19.68631400134543,1.6303270305385735,0.2865697161403433,-20.05231339831091,195.93552875724083,87.60747957486562,42.264552583182166,-76.27536550225987,-32.447117828159314
2015-04-23,42.74642570731658,-19.68631400134543,1.6303270305385735,0.2865697161403433,-16.45309065344564,189.94456883127248,87.60747957486562,42.264552583182166,-76.27536550225987,-32.447117828159314
2015-04-24,42.74642570731658,-19.68631400134543,1.6303270305385735,0.2865697161403433,-15.461922995448345,165.29833055936626,87.60747957486562,45.20455281956496,-70.87297476548117,-32.447117828159314
2015-04-27,41.22779616117102,-19.68631400134543,3.1489565766841405,0.2865697161403433,-14.087933120188303,149.91838235274594,87.60747957486562,45.20455281956496,-69.15244536735328,-32.447117828159314
